user;qt_likes;qt_comments;post_date;video;video_duration;qt_views
3099754637519746998;23;0;10/05/2023 17:26;False;;0
3044779373713801674;11;0;23/02/2023 21:00;False;;0
3156106799136448178;32;1;27/07/2023 11:27;False;;0
3272357194900187547;31;1;03/01/2024 20:56;True;6.874;209
3270083227350371788;8;2;31/12/2023 17:47;True;6.99;30
3268605005795675557;266;1;29/12/2023 16:45;True;3.391;708
3257867176626606724;16;12;14/12/2023 21:21;True;14.072;51
3255630331570043467;22;21;11/12/2023 19:03;False;;0
3251208530340771415;20;13;05/12/2023 16:38;False;;0
3221525845356727524;12;0;25/10/2023 17:43;False;;0
3204920546193797415;10;2;02/10/2023 19:59;True;12.9;53
3196781975586536718;6;4;21/09/2023 14:22;False;;0
3196268187985109081;13;2;20/09/2023 21:25;True;18.6;60
3196200456903143361;42;6;20/09/2023 19:06;False;;0
3192659925325369698;30;2;15/09/2023 21:53;True;60.966;124
3191946404422445099;22;0;14/09/2023 22:14;False;;0
3190502397805420221;18;3;12/09/2023 22:25;False;;0
3185966195324669597;8;1;06/09/2023 16:13;False;;0
3171592402312860298;18;1;17/08/2023 20:20;True;14.633;79
3166534051196131718;11;1;10/08/2023 20:44;False;;0
3160700564723629654;8;1;02/08/2023 19:34;False;;0
3154099693306565636;6;0;24/07/2023 17:00;False;;0
3138910541296999625;27;0;03/07/2023 18:04;True;55.633;99
3135859346038749151;34;4;29/06/2023 12:59;False;;0
3134537243058254872;35;1;27/06/2023 17:12;False;;0
3128790905109297410;36;15;19/06/2023 19:12;True;15.1;185
3125149614139346980;2;0;14/06/2023 18:21;False;;0
3105560271616065507;4;0;18/05/2023 17:52;True;29.3;31
3101213655559783849;6;0;12/05/2023 17:44;False;;0
3099085297451330996;4;2;09/05/2023 19:16;False;;0
3095994409120693571;4;1;05/05/2023 12:55;False;;0
3095413437257428404;14;0;04/05/2023 17:46;True;5.233;66
3088992290919080285;12;1;25/04/2023 21:04;True;64.333;45
3088211241100809849;5;0;24/04/2023 19:11;False;;0
3084657655683883099;21;2;19/04/2023 21:43;True;87.433;98
3083138775572450431;6;0;17/04/2023 19:18;True;12.433;49
3068569619061539952;1;0;28/03/2023 16:47;False;;0
3064269078357375810;20;2;22/03/2023 18:26;True;77.233;85
3063637168510205667;5;0;21/03/2023 21:27;False;;0
3061435465278703782;10;0;18/03/2023 20:32;False;;0
3060008705673093571;24;3;16/03/2023 21:30;True;24.633;97
3058527747069379976;10;4;14/03/2023 20:15;False;;0
3053904597327603750;12;4;08/03/2023 11:17;True;5.0;65
3017848189499923602;1184;2;17/01/2023 17:12;True;5.4;6945
3009981013120957556;7;0;06/01/2023 20:42;False;;0
3009264530753028558;20;2;05/01/2023 21:07;True;14.466;278
3007110922322763523;4;0;02/01/2023 21:39;False;;0
3005449205070528365;32;4;31/12/2022 14:40;True;6.9;157
3004888867363213682;7;0;30/12/2022 20:04;False;;0
3002779485444475811;9;0;27/12/2022 22:13;False;;0
3001929835576457717;447;3;26/12/2022 18:11;True;11.6;3000
2993320285757189416;6;0;14/12/2022 21:00;False;;0
2989696440850788882;17;2;09/12/2022 21:00;False;;0
2986797296126802627;6;4;05/12/2022 21:00;False;;0
2981689086202254066;11;2;28/11/2022 19:50;False;;0
2972803484064718472;33;4;16/11/2022 13:36;False;;0
2967742295693103562;8;0;09/11/2022 14:01;False;;0
2957065294590730654;8;0;25/10/2022 20:27;False;;0
2956246430571647531;34;3;24/10/2022 17:24;True;6.533;127
2952749222538707342;7;0;19/10/2022 21:32;False;;0
2949029493533664004;21;2;14/10/2022 18:22;False;;0
2947419443051737848;32;4;12/10/2022 13:08;True;14.466;168
2946753691654376231;13;0;11/10/2022 15:00;False;;0
2946028966112720755;7;0;10/10/2022 15:00;False;;0
2944035542984880986;9;2;07/10/2022 21:00;False;;0
2932106933994588427;11;2;21/09/2022 10:00;False;;0
2931512459702217369;19;2;20/09/2022 14:21;True;18.033;112
2914194148455772016;6;4;27/08/2022 16:50;False;;0
2904664634260224291;7;0;14/08/2022 13:17;False;;0
2901092586161527811;8;0;09/08/2022 15:00;False;;0
2884392852034816354;4;1;17/07/2022 14:00;False;;0
2883547255282671649;6;2;16/07/2022 10:00;False;;0
2882973253011196401;7;0;15/07/2022 15:00;False;;0
2880980044849469862;7;0;12/07/2022 21:00;False;;0
2879978194409357592;34;20;11/07/2022 12:09;True;59.933;125
2837358799391953381;23;2;13/05/2022 16:54;True;6.766;174
2834564527695949879;9;0;09/05/2022 20:00;False;;0
2833692311483497909;18;3;08/05/2022 15:07;False;;0
2831690312176491962;9;1;05/05/2022 20:50;False;;0
2830215539459079787;21;8;03/05/2022 20:00;False;;0
2828482895704500672;21;2;01/05/2022 10:41;True;14.133;212
2827114753711302409;8;3;29/04/2022 13:19;False;;0
2810449908766566259;57;3;06/04/2022 13:41;True;40.633;281
2809235602052622185;13;4;04/04/2022 21:16;False;;0
2807015950127758108;10;9;01/04/2022 19:46;False;;0
2796894626365782917;20;3;18/03/2022 20:37;False;;0
2789361839787853093;25;11;08/03/2022 11:11;True;25.866;98
2778838912451918975;10;2;21/02/2022 22:43;False;;0
2776625521096178516;18;1;18/02/2022 21:26;False;;0
2773675789902291006;30;10;14/02/2022 19:56;True;13.133;252
2770797604978103808;34;4;10/02/2022 20:27;False;;0
2765650505013907517;46;6;03/02/2022 18:07;True;14.233;478
2764285446354294425;30;0;01/02/2022 20:48;False;;0
2746142257403473979;19;2;07/01/2022 20:01;False;;0
2744008207171685171;7;3;04/01/2022 21:21;False;;0
2740994265453335396;9;3;31/12/2021 17:33;False;;0
2735760697907063100;8;1;24/12/2021 12:15;False;;0
2733626401173556648;24;4;21/12/2021 13:34;True;4.633;282
2732486721613295327;16;3;19/12/2021 23:50;False;;0
2730956008187440607;13;5;17/12/2021 21:09;False;;0
2599066396768309207;12;2;18/06/2021 21:48;False;;0
2597523480855861991;30;4;16/06/2021 18:42;True;14.633;208
2596181922579549685;12;1;14/06/2021 22:17;False;;0
2588906607440308068;19;4;04/06/2021 21:22;False;;0
2577299177657221942;14;10;19/05/2021 21:00;False;;0
2569970312068555905;12;8;09/05/2021 18:19;False;;0
2567911922986718983;37;10;06/05/2021 22:09;True;6.566;138
2567152244507299446;18;6;05/05/2021 21:00;True;7.133;68
2565734190293506543;19;6;03/05/2021 22:02;False;;0
2558456553817933563;21;2;23/04/2021 21:03;False;;0
2557745416327507306;14;4;22/04/2021 21:30;True;5.333;64
2555555890856232509;17;7;19/04/2021 21:00;False;;0
2550395236612593397;48;10;12/04/2021 18:07;True;14.866;271
2548328749043314821;18;4;09/04/2021 21:41;False;;0
2544473138908308063;8;2;04/04/2021 14:00;False;;0
2544012296332968140;33;17;03/04/2021 22:45;False;;0
2540849479706582327;19;4;30/03/2021 14:01;True;15.0;155
2538097917489871837;19;15;26/03/2021 18:54;False;;0
2525188985367989819;15;3;08/03/2021 23:26;False;;0
